text,label
i was born a racist and i will die a racist i will not rest untill every worthless nigger is rounded up and hung niggers are the scum of the earth white america,1
bitch nigga miss me with that,1
if you aint bout that murder game pussy nigga shut up,1
gay niggas couldnt wait to act like bitches tonight,1
why deos a gorilla always have a frown because in ten million years it will be a nigger,1
"fuck niggers, faggots, chinks sand niggers and everyone who isnt white",1
proof that niggers are faggot pussies look al these two queers a couple of homo thugs,1
nigger trap guaranteed to work everytime,1
whites helpline facilitate the invasion of their own countries traitors have no soul they should be burned at the stake,1
wheres your mommy and daddy you little nigga,1
good morning white people fuck you niggers,1
i have a problem so the nigger nigga lover their half breed turd get a bullet if you have a problem with cheerios depiction of real life american families take off your sheet and check the calendar,1
how the fuck does a foreigner win miss america she is arab idiots,1
appallachan whites are poorer than negroes and they dont chimp out,1
evolution will work itself out whites are awakening and we will triumph over the muddy degenerate masses of mud like we always have,1
house our homeless veterans before refugees immigrants or economic migrants our shame is not helping those that served our nation,1
they are not refugees theyre not asylum seekers theyre not immigrants theyre invaders,1
youre acting like a nazi hispanic girl,1
i wish all these monkeys could get back on their boats and leave us alone,1
maybe you should be out there telling them to stop burning businesses if they are such good people i know all i see are scary awful black people robbing businesses that dont deserve this they are making matters worse for themselves,1
disgusting black bitch,1
for a good reason send them all back,1
she is a dirty filthy immigrant and the black skin hell i bet she even has blue gums,1
two black girls sitting behind me wont shut the fuck up i want to punch them because theyre actually so fucking retarded theyre most likely crackwhores people like them do nothing for society sorrynotsorry i woulnt be surprised if i ended up in hell,1
but theyre still surrender monkies right,1
in my dream i was a demon hunter today i fought a chinaman,1
dirty fucking nigger,1
these hoes like niggas that spend money not talk bout it,1
we dont trust these niggas all these bitches,1
yall niggas be cuffing hoes cause yall never got bitches,1
fuck red malone man bitch ass niggah could you please use complete sentences,1
you ever kill a ant on the sidewalk and think damn what is that nigga was on his way to get some pussy,1
ppl talk bad about the gheto hood but as a kid a nigga had funn,1
bitches be wanting to act like niggas so bad that shit aint cutee but niggas act like bitches,1
going to africa hope i dont get aids just kidding im white,1
if we had a real life purge i would kill as many mexicans as i could in one night,1
cant believe they had the nerve to have a beaner sing the american anthem,1
is a house nigger hes not cool or funny please remove,1
i fucking hate niggers i wish we could put them all in concentration camps and be done with the lot,1
with so many africans in greece at least the mosquitoes of the west nile will eat homemade food,1
fuch u u fucking monkey cant wait till peyton roasts u next week,1
ok we pick a worthless nigger over a full blooded american what the hell has our world come its called the white house for a reason,1
china has a year history of cheating and stealing some things dont change,1
susan rice is a man with big swinging ape balls,1
i really want to meet obama someday just so i can call him a nigger,1
