text,label
zombie dance ðÿ ‰,0
: hate from ny,0
:14 the monkeys can't control their impulses to attack!,0
..black face?,0
..fool.,0
".graduated from: the central university of brainwash and terrorism. what the hell the islamic background music is for . imagine a brainwash peep watching this and feeling the only true religion is the religion of terrorism and illiteracy, the one and only islaam",0
""" birthing person"" freaking pathetic. the trans issues needs to be destroyed. there is no such thing. men are men. women are women. anything else is a mutation and not the normal. period",0
"""130 percent"" = mace after silicone implants, nose reconstruction, botox..",0
"""33 million gods"" xd. illiterate as fuck",0
"""eemillion gods"".. bro graduated from backrooms",0
absolute wastage of resources,0
"""are you a woman?"" yeahh, ""are you a woman??"" what an absolute joke.. what used to be common sense is now a question not even the leaders can answer. the mayor needs to step down and allow someone with common sense to do her job.",0
"""birthing people"" , are you f**king kidding me, do you mean women ?,, how far off the reservation do you have to go, to label people with these insane terms ? get a life ,iberals",0
"""birthing person"" is such an utterly ridiculous phrase that it signals mental illness in anyone who uses it to suggest that a human being who is not a woman can give birth. only women can carry a baby to term and give birth. period. if you don't understand why, you must be incredibly stupid.",0
"""birthing person"".what is that. they are trying to avoid the name woman. liberalism is a disease. seriously. i'm done. these far leftist liberals have gone way too far.",0
burn witch,0
"""erasure of women"" says a woman asking questions in government. what a bully mace is: refuses to allow an answer, what a hateful person. congresswoman karen. aka: white supremacy karen",0
"he is illiterate, like most flat earth believers, whose religious prophet hides women's identities, tells his people to engage in sex slavery, and does not respect his sister and cousin. although the article he is using was written by sulaiman razvi (another illiterate), let him correct: the ashvamedha yajna was a vedic horse sacrifice ritual performed by rulers to prove their imperial sovereignty. in this ritual, a horse was left to wander for a year, and anyone could challenge the authority of the king by fighting with the warriors who traveled with the horse.",0
hinduism is a demonic religion because bad ,0
"""hormonal deficiency"" this man is so ignorant.",0
"""how fake do you want to be?"" the girl : *yes*",0
"""it was fake"", ""of course it was fake"" lol slay",0
man is pulling up facts straight up from his ass,0
"""my cult is better than your cult"". fixed it.",0
"""my god has a bigger d*ck than yours."" -george carlin also the lame message of this sad video.",0
"""no babe, i don't even use that much of makeup"" typeshit",0
"""should i pop him in the mouth?"" ""no, let him cook, he has no idea what he's talking about and is kinda hilarious.""",0
sydney where the f** is my makeupii,0
the pharaohs curse,0
"""they"" didn't want a woman telling them what to do. but ""they"" have no problem following a bitch.",0
ugly men use beards to look better,0
"""wise"" men, ladies and gentlemen. he reeks of arrogance and narcissism",0
"""wtf is this guy talking about??"" *- man drinking coffee*",0
@ 4:08 she farted,0
@4:19 woe the nasty on her facei! evil eyei! witches give evil eye..,0
@bb quick updates she is a shame to kannada & karnataka,0
@iamthewarner are you a new pedophile cult follower in youtube,0
@iamthewarner i feel pity for muslims in china,0
"*_if you ever feel dumb, remember this man exists_*",0
*bro is the true icon of ill-educated peaceful community*,0
*don't allow this demonic people in west dont give them business and technology*,0
"*know the facts. you say, you think, and not at all not sure. mad fellow*",0
*she looks like an attack on titan character-*,0
*that starbuck guy was too smart not trying to argue with a fool *,0
"*truth is bitter* , *keep exposing this disgusting people*",0
*unhealthy zombie islamic mind set*,0
*very good brother keep exposing this evil*,0
# black face.,0
#fatbrain,0
>> cake face. pore clogging madness. not good.,0
>> cake face. what's with the copious amounts of chemicals on a human being's skin? -- the toktoking makeup madness is quite scary (and pore clogging).,0
fc*k hater jai shree mahakal,0
don't spread hatred to by hindus by spreading miss information,0
what bulshit and there's no such 33 crore you should do your research. .. and may be i'll do some ritual for these kind of bastards who spread fake news. and coming from a phedophile kids loving god of theirs they don't have a right to talk like this,0
i am literally laughing at this idiot,0
i think he got hit in head by some horse*shit,0
dracula voice for modi,0
0 percent acting who the heck she is idiot dagar we say in karnataka she is famous for that,0
0:29 your smile look like horror movie scene,0
2 clowns,0
"2:34 you actually look like what satan would look like in my nightmares, ffs.",0
"3,9m likes bro anyways idk that much makeup is gonna be so greasy and sh so gross maybe but idk",0
408 that nasty black woman farts,0
600 kilograms of make up,0
a dishonest person can't answer an honest question = democrook,0
a face full of lies,0
a fuck ton of pretty! i don't have the patience.ðÿ ®,0
a giraffe??,0
a lot of waste,0
"a man can become a woman, she did not say no. yeah the black community is sick. this is absolutely terrifying. that she has to say yes or no and the mayor can't provide an answer. this is scary times",0
a mayor cant answer questions on her own code. pathetic. shes not a woman she is a weak coward.,0
a mayor that doesn't know chit. lol her middle name should be dumbfounded,0
a piece of shit,0
a question my god please remove these fools from the planet.,0
a truly useless individual.,0
a waste of time. this is trash and she's trash!,0
a whole ass mess omg,0
a witch .. run ! ðÿ¤£,0
a wolf in a sheep clothing.,0
actually karnataka people threw her in hyderabad we karnataka people don't keep such nonsense in our state,0
"adila n noora, both are utter fake persons in bigg boss",0
after an year she says im from newyork,0
"after getting launched,even a rocket doesn't leave it's orbit. but she is different.. she is worse than a machine. forget it. she is no one",0
"after her latest movie, it's confirmed shes from slums of dharavi",0
after that we want interview with himesh bad ass ravi kumar,0
"all rashmika movies i watch only in ott that too because of heroes. she is one worst attitude bucket queen who dont even know any language properly, directors/producers who is casting her are really should think twice. we dont expect her to act in any of kannada movies in future",0
all these feminists here turning into demons before their period talking about how hormones donâ€tmt affect women. hilarious.,0
"all this filthy nonsense, was it allowed by democrats?",0
also an idiot who lives in utopia!,0
amazing how all these women come out of the long grass after the men stood up amd got the job done. womem are sheep and just follow trends,0
amazing how such a degree of illiteracy can become mayor of dc.,0
"amazing personality parvathy, you are an inspiration to many to be courageous!",0
america has a crime problem! it's called donald trump! he's a convicted criminal and belongs to jail!,0
and another dim-o-rat is exposed as a dumb a$$ and liar,0
another actor placed in there by the obama marxists to destroy this countryi!,0
another black us mayor that's literally full of shit. is that a racist comment or a strategic observation for lack of care for us taxpayer dolors??,0
"another dumb black cunt,who elected this bitch to being the mayor,she looks at the camera and smiles like shes better than the commity",0
another ignorant.,0
another mayor in blue cities that is a complete idiot~,0
